"rep","beta1_hat","beta1_sd","mean_unw","mean_inf","fixed_mean","sd_delta_hat"
148,0.689788818051687,0.0527190182559299,0.7,0.594543713171637,0.702640739314792,0.413072867237301
149,0.654007222655749,0.0530844229029286,0.7,0.609800830070281,0.665813465626679,0.437627430720802
150,0.683798445476662,0.053004470366709,0.7,0.60087806702108,0.709721004263193,0.434057724297695
151,0.726619498201573,0.0556185512085382,0.7,0.63371155950932,0.721552660301243,0.461431234322804
152,0.647893509745539,0.0501662546520603,0.7,0.615246499246178,0.667919685624269,0.342254389146261
153,0.630265204292041,0.0540916629466593,0.7,0.579632463328077,0.642107013032814,0.457273546687637
154,0.758306210960826,0.0529065762611385,0.7,0.625433847875192,0.775433953092651,0.431750997414274
155,0.732400304333963,0.0533535037970277,0.7,0.592027439635456,0.749210474742239,0.595356984865263
156,0.719676191318502,0.0578241727811186,0.7,0.536079414729486,0.73553472267161,0.598479031571884
157,0.638603302464693,0.053752669596278,0.7,0.586299476476734,0.652462002224258,0.545079382455978
158,0.629571987296659,0.0520416891748952,0.7,0.57558567489135,0.633988361255231,0.438374005070121
159,0.680503015951273,0.0526499867963885,0.7,0.622692665954786,0.690702636119986,0.533390972567026
160,0.619178752153053,0.0515788218159298,0.7,0.524117433366572,0.64176498389626,0.51588206382992
161,0.749935647361656,0.0545315435437558,0.7,0.538832440989381,0.758648179371812,0.475400073569551
162,0.724946955853628,0.0515673534224831,0.7,0.635333611002688,0.752435399128986,0.374312548015602
163,0.746965997382806,0.0529619673949058,0.7,0.574791390025084,0.771704300035969,0.469573740658457
164,0.794451230163912,0.0536216224708116,0.7,0.633817910540099,0.78986371427044,0.372388351179159
165,0.632790587995854,0.0504674509079353,0.7,0.592688613683512,0.651528178931307,0.396282294632978
166,0.717953474341222,0.0568813562017335,0.7,0.560600760891276,0.703866493070612,0.620086302821721
167,0.80490494007178,0.0570467837550539,0.7,0.644574903943063,0.830116209212571,0.448682980239264
168,0.591850809012746,0.053742182282257,0.7,0.567721285033757,0.600424920161295,0.618479306592968
169,0.765453406407102,0.0520080404403957,0.7,0.659679952187327,0.778988032480584,0.380039160415503
170,0.634304253987838,0.0487281772991081,0.7,0.654576008900039,0.659539357688483,0.194604686343474
171,0.637260247048242,0.0514731260910701,0.7,0.616346664988853,0.6454919896049,0.519126670728973
172,0.755234193520547,0.0523511167866726,0.7,0.616444873474706,0.776315610576906,0.410938659293964
173,0.669749012288455,0.0524880909264581,0.7,0.609553250665607,0.683381894977162,0.378352227577996
174,0.680311159687673,0.0521814403155689,0.7,0.591275158821641,0.698530407648583,0.416516437311158
175,0.687473927347602,0.0519171637451162,0.7,0.622375903711604,0.691501345183129,0.348832040952021
176,0.677701773177907,0.0514554406144922,0.7,0.637227381493885,0.689995591212322,0.37613949328219
177,0.734610150406301,0.0545792584678633,0.7,0.584484667136364,0.746880049508283,0.443788396693947
178,0.749633492955449,0.0546760723004055,0.7,0.59058863159276,0.763368289149753,0.521770690490842
179,0.7644505311582,0.0530978539314231,0.7,0.66280167178566,0.775489978597466,0.27985984489731
180,0.712535853312494,0.0538683134764676,0.7,0.620524358212335,0.736908357997567,0.40507730483558
181,0.602747431424162,0.0548170720015505,0.7,0.675958142689259,0.60267981932239,0.43337317394857
182,0.679621209319449,0.052467980820619,0.7,0.60377164176068,0.674103294626269,0.401148040492776
183,0.669943370765019,0.0492748296341508,0.7,0.647896889742628,0.685385573488789,0.285039406684629
184,0.650625070826861,0.052854053653721,0.7,0.607009779799354,0.658601378307847,0.379528433064742
185,0.658568460436906,0.0523746138511805,0.7,0.650838334668857,0.666488508969204,0.217194285856273
186,0.686909589475977,0.0514933306785944,0.7,0.634459972795591,0.703213043562348,0.399929132833729
187,0.704697616776004,0.0561456286200666,0.7,0.583576985417459,0.714853368579346,0.592251659629682
188,0.727755965894426,0.054938338497808,0.7,0.653862299316979,0.740551890358477,0.43717097376133
189,0.614460483459198,0.0545864800884452,0.7,0.530616327890819,0.626886930791497,0.695759273389775
190,0.720938299314742,0.0540434750071767,0.7,0.579603827223486,0.731677082529862,0.560565677562059
191,0.747497311646949,0.0523157773499492,0.7,0.637885031590471,0.770626339080919,0.246036326113914
192,0.726912353179587,0.0522014996781624,0.7,0.640019641420679,0.738232885302742,0.348563120719719
193,0.720409838346218,0.050312005146165,0.7,0.630200899164384,0.73852100260657,0.320058782647336
194,0.654765205083905,0.0531451012368278,0.7,0.618313277836513,0.673529512274234,0.420583985571683
195,0.682975539676032,0.0509477024198762,0.7,0.606365786922702,0.700102601254105,0.434519460037554
196,0.722007615687675,0.0587279012016215,0.7,0.487767184273074,0.726327762948104,0.736577304953616
197,0.562216016774699,0.0513325665999697,0.7,0.553820761363238,0.580041862112653,0.387255711746343
198,0.725440785133248,0.0554089611181749,0.7,0.51467400250326,0.74523752036194,0.635376735958529
199,0.724719086909098,0.0553933020758957,0.7,0.592845270987766,0.736866767214382,0.483844310774762
200,0.764340462063276,0.053658030630837,0.7,0.635697952226659,0.788175364255664,0.284464881293626
